subtitle_set_id,asset_id,asset_name
forest_journal_higuys,0,F199.0L.33Fxx.cut
forest_journal_bonvoyage,0,F199.0L.24Fxx.cut
forest_journal_051466,0,F199.0L.45Fxx.cut
forest_journal_051666,0,F199.0L.42Fxx.cut
forest_journal_dream_redtape,0,F199.0L.72Fxx.cut
forest_journal_dream_spider,0,F199.0L.78Fxx.cut
forest_maxscream,0,Max Scream w/Rocks.aiff
bureau_booths_chiefbridge1,0,BurChiefWildLine #1.aiff
bureau_booths_chiefbridge2,0,BurChiefWildLine #2.aiff
bureau_booths_rebelcontrol,0,L105.6L.01Fxx.cut
bureau_booths_hygiene,0,L107.6L.01Fxx.cut
bureau_booths_reception,0,L108.6L.01Fxx.cut
bureau_booths_bridgerepair,0,L110.6L.01Fxx.cut
bureau_booths_mediation,0,L111.6L.01Fxx.cut
bureau_booths_operations,0,L114.2L.01Fxx.cut
bureau_booths_travel,0,L117.2L.01Fxx.cut
bureau_booths_sources,0,L118.2L.01Fxx.cut
bureau_booths_hints,0,L121.2L.03Fxx.cut
bureau_booths_atlas,0,atlas kiosk.aiff
bureau_booths_info,0,L103.0L.02Fxx.cut
bureau_maze_greet,0,L401.2L.03Fxx.cut
bureau_maze_gumball,0,L461.6L.01Fxx.aid
bureau_maze_lounge,0,L420.2L.01Fxx.cut
bureau_maze_psych,0,L425.6L.01Fxx.cut
bureau_maze_ear,0,L443.4L.01Fxx.cut
bureau_maze_eye,0,L459.2L.01Fxx.cut
bureau_maze_shred,0,L454.2L.01Fxx.cut
bureau_maze_middle_deny,0,L400.01Fxx.aid
bureau_maze_middle_deny,0,L416.2L.01Fxx.cut
bureau_maze_middle_deny,0,L427.4L.01Fxx.cut
bureau_maze_photo,0,L414.4L.01Fxx.cut
bureau_maze_photo_groan1,0,L460.6L.01Fxx.aid
bureau_maze_photo_groan2,0,L460.6L.02Fxx.aid
bureau_maze_personnel,0,L431.6L.01Fxx.cut
bureau_maze_end1,0,L448.0L.01Fxx.cut
bureau_maze_end2,0,L448.0L.02Fxx.cut
bureau_maze_greet_nocards,0,L401.2L.02Fxx.cut
bureau_maze_security,0,L437.2L.01Fxx.cut
bureau_immediate_action_document,0,L504.2L.01Fxx.cut
bureau_immediate_action,0,L504.2L.02Fxx.cut
bureau_immediate_action_clock,0,L504.2L.03Fxx.cut
bureau_rebel_voice_ia,0,L500.01F10.aiff
bureau_rebel_voice_welcome,0,L300.01F10.aiff
bureau_rebel_voice_comeback,0,L300.02F10.aiff
bureau_rebel,0,L310.2L.01Fxx.cut
bureau_phone_answer_000001,0,L308.4L.18Fxx.aid
bureau_phone_answer_000002,0,L308.4L.05Fxx.aid
bureau_phone_answer_000003,0,L308.4L.02Fxx.aid
bureau_phone_answer_000004,0,L308.4L.14Fxx.aid
bureau_phone_answer_040001,0,L308.4L.09Fxx.aid
bureau_phone_answer_040003,0,L308.4L.22Fxx.aid
bureau_phone_answer_020001,0,L308.4L.12Fxx.aid
bureau_phone_answer_020002,0,L308.4L.01Fxx.aid
bureau_phone_answer_040102,0,L308.4L.11Fxx.aid
bureau_phone_answer_000301,0,L308.4L.17Fxx.aid
bureau_phone_answer_000201,0,L308.4L.08Fxx.aid
bureau_phone_answer_000303,0,L308.4L.10Fxx.aid
bureau_phone_answer_000203,0,L308.4L.15Fxx.aid
bureau_phone_answer_000103,0,L308.4L.16Fxx.aid
bureau_phone_answer_000202,0,L308.4L.20Fxx.aid
bureau_phone_answer_040002,0,L308.4L.21Fxx.aid
bureau_phone_answer_000101,0,L308.4L.23Fxx.aid
bureau_phone_answer_000302,0,L308.4L.24Fxx.aid
bureau_phone_boss,0,L308.4L.03Fxx.aid
bureau_phone_boss_goaway,0,L308.4L.25Fxx.aid
bureau_phone_library,0,L308.4L.13Fxx.aid
bureau_phone_filing,0,L308.4L.19Fxx.aid
bureau_phone_empty,0,L308.4L.07Fxx.aid
bureau_phone_invalid,0,L308.4L.06Fxx.aid
bureau_chief_ceiling,0,L611.4L.01Fxx.cut
bureau_finale_heyyou,0,Hey You w/ wheels.aiff
bureau_finale_stop,0,L705.0D.01Fxx.cut
bureau_finale_sink,0,L705_706.01Fxx.trn
bureau_finale_complain,0,L706.0L.01Fxx.aid
bureau_finale_ending,0,L710.0L.01Fxx.qta
spider_max,0,A101.2D.01Fxx.cut
spider_control_fire,0,A602.0L.01Fxx.cut
spider_control_metal,0,A602.0L.03Fxx.cut
spider_control_oil,0,A602.0L.05Fxx.cut
spider_control_air,0,A602.0L.07Fxx.cut
spider_control_max,0,A602.0L.39Fxx.cut
spider_control_finished,0,A602.0L.01Fxx.aid
spider_ending,0,A121.0L.01Fxx.qta
inspiration_radio,0,B103_104.01Fxx.trn
inspiration_plane_01,0,B203.4L.01Fxx.aid
inspiration_plane_02,0,B203.4L.02Fxx.aid
inspiration_plane_03,0,B203.4L.03Fxx.aid
inspiration_plane_04,0,B203.4L.04Fxx.aid
inspiration_plane_05,0,B203.4L.05Fxx.aid
inspiration_plane_06,0,B203.4L.06Fxx.aid
inspiration_plane_07,0,B203.4L.07Fxx.aid
inspiration_plane_08,0,B203.4L.08Fxx.aid
inspiration_plane_09,0,B203.4L.09Fxx.aid
inspiration_plane_10,0,B203.4L.10Fxx.aid
inspiration_plane_11,0,B203.4L.11Fxx.aid
inspiration_plane_12,0,B203.4L.12Fxx.aid
inspiration_plane_13,0,B203.4L.13Fxx.aid
inspiration_plane_14,0,B203.4L.14Fxx.aid
inspiration_plane_15,0,B203.4L.15Fxx.aid
inspiration_plane_16,0,B203.4L.16Fxx.aid
inspiration_plane_17,0,B203.4L.17Fxx.aid
inspiration_plane_18,0,B203.4L.18Fxx.aid
inspiration_plane_19,0,B203.4L.19Fxx.aid
inspiration_plane_20,0,B203.4L.20Fxx.aid
inspiration_plane_21,0,B203.4L.21Fxx.aid
inspiration_plane_22,0,B203.4L.22Fxx.aid
inspiration_plane_23,0,B203.4L.23Fxx.aid
inspiration_plane_24,0,B203.4L.24Fxx.aid
inspiration_plane_25,0,B203.4L.25Fxx.aid
inspiration_plane_26,0,B203.4L.26Fxx.aid
inspiration_plane_27,0,B203.4L.27Fxx.aid
inspiration_plane_28,0,B203.4L.28Fxx.aid
inspiration_plane_29,0,B203.4L.29Fxx.aid
inspiration_plane_30,0,B203.4L.30Fxx.aid
inspiration_plane_31,0,B203.4L.31Fxx.aid
inspiration_plane_32,0,B203.4L.32Fxx.aid
inspiration_ending,0,B203.4L.17Fxx.qta
inspiration_piazza_start,0,B302_303.01Fxx.trn
inspiration_piazza_win,0,B308.6L.01Fxx.qta
inspiration_piazza_win,0,B305.0L.01Fxx.qta
inspiration_piazza_win,0,B306.4L.01Fxx.qta
inspiration_piazza_win,0,B311.6L.01Fxx.qta
inspiration_piazza_win,0,B315.2L.01Fxx.qta
inspiration_piazza_win,0,B318.4L.01Fxx.qta
inspiration_piazza_win,0,B317.0L.01Fxx.qta
inspiration_piazza_win,0,B312.2L.01Fxx.qta
inspiration_max_trapped,0,B104.4U.01Fxx.cut
inspiration_gallery_bureau,0,B508.0L.01Fxx.aid
inspiration_gallery_spider,0,B514.0L.01Fxx.aid
inspiration_gallery_inspiration,0,B520.0L.01Fxx.aid
inspiration_gallery_frame_incomplete,0,B521.2U.01Fxx.aid
inspiration_gallery_frame_complete,0,B521.2U.02Fxx.aid
conductor_max_trapped,0,C103.0L.01Fxx.aid
conductor_max_comeback,0,C103.0L.03Fxx.aid
conductor_max_dontleave,0,C103.0L.02Fxx.aid
conductor_max_trapped_close,0,C104.0L.03Fxx.cut
conductor_max_escape,0,C104.0L.01Fxx.cut
conductor_max_chip,0,C105.2L.01Fxx.cut
conductor_max_chip2,0,C105.2L.02Fxx.cut
conductor_ending_intro,0,C106.4L.01Fxx.cut
conductor_ending_good,0,C106.4L.01Fxx.qta
conductor_ending_bad,0,C106.4L.02Fxx.qta
